Timestep    Total   Potential   Kinetic
383: -623.3912133547938 -648.3129178527448 24.921704497951062
384: -623.3912118689432 -648.2997036075614 24.908491738618224
385: -623.3912103862277 -648.2860539862147 24.894843599986967
386: -623.3912089074017 -648.2719939321014 24.880785024699705
387: -623.3912074332081 -648.257548346824 24.866340913615836
388: -623.3912059643825 -648.2427420778008 24.851536113418337
389: -623.3912045016513 -648.2275999060085 24.836395404357283
390: -623.3912030457311 -648.2121465338627 24.820943488131498
391: -623.3912015973311 -648.1964065732409 24.805204975909746
392: -623.39120015715 -648.180404533643 24.78920437649296
393: -623.3911987258788 -648.1641648104978 24.772966084619046
394: -623.391197304198 -648.1477116736098 24.75651436941176
395: -623.3911958927794 -648.1310692557541 24.73987336297475
396: -623.3911944922853 -648.1142615414184 24.7230670491331
397: -623.3911931033693 -648.0973123556923 24.706119252323035
398: -623.3911917266755 -648.0802453533075 24.689053626632052
399: -623.3911903628368 -648.0630840078277 24.67189364499082
400: -623.3911890124784 -648.0458516009968 24.654662588518352
401: -623.3911876762152 -648.0285712122379 24.63738353602273
402: -623.3911863546517 -648.01126570831 24.62007935365833
403: -623.3911850483836 -647.9939577331255 24.602772684741904
404: -623.3911837579957 -647.9766696977249 24.58548593972923
405: -623.3911824840626 -647.9594237704166 24.56824128635396
406: -623.3911812271492 -647.9422418670799 24.551060639930736
407: -623.3911799878102 -647.9251456416347 24.53396565382448
408: -623.391178766589 -647.9081564766768 24.516977710087918
409: -623.3911775640203 -647.8912954742892 24.500117910269005
410: -623.3911763806253 -647.874583447016 24.483407066390715
411: -623.3911752169171 -647.8580409090221 24.466865692104964
412: -623.3911740733965 -647.8416880674193 24.450513994022828
413: -623.391172950554 -647.8255448137772 24.434371863223195
414: -623.3911718488683 -647.8096307158105 24.41845886694221
415: -623.3911707688073 -647.7939650092524 24.402794240445
416: -623.391169710827 -647.7785665899099 24.38739687908294
417: -623.3911686753731 -647.7634540059106 24.372285330537494
418: -623.3911676628777 -647.7486454501316 24.357477787253803
419: -623.3911666737625 -647.7341587528283 24.342992079065713
420: -623.3911657084378 -647.7200113744524 24.328845666014526
421: -623.3911647673004 -647.7062203986645 24.31505563136406
422: -623.3911638507352 -647.6928025255489 24.30163867481373
423: -623.391162959116 -647.6797740650284 24.288611105912434
424: -623.3911620928023 -647.6671509304773 24.27598883767493
425: -623.3911612521428 -647.6549486325463 24.263787380403528
